company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
47273,화성일렉컴(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,화성일렉컴
434405,(주)아이제이테크,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,아이제이테크
406128,(주)비에이치티생명과학,5.0,2,5.0,4.5,5.0,5.0,4.5,5.0,100%,100%,100%,비에이치티
369485,(주)트랜디플러스,2.8,5,2.8,3.0,3.2,3.0,3.2,3.0,40%,40%,40%,트랜디플러스
205100,이화일렉콤(주),2.3,4,2.3,2.3,2.0,1.8,2.8,1.5,0%,0%,0%,이화일렉콤
265739,정근건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,정근건설
249783,덕천건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕천건설
429424,이지솔루션,1.8,4,1.8,1.3,1.3,1.3,2.8,1.3,0%,0%,0%,이지솔루션
198247,케이엠솔루션뱅크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,케이엠솔루션뱅크
289468,건창기술단(주),3.0,1,3.0,2.0,1.0,1.0,3.0,1.0,0%,0%,0%,건창기술단
378771,고양시대화노인종합복지관,3.4,14,3.4,2.9,3.7,3.2,2.1,2.8,43%,43%,21%,고양시대화노인종합복지관
85745,(주)경남은행,3.1,214,3.1,3.8,2.7,2.8,3.1,2.7,47%,57%,20%,경남은행
38682,더블유피솔루션즈(주),2.1,8,2.1,2.1,2.5,1.6,2.0,1.8,0%,38%,0%,더블유피솔루션즈
180501,상원건업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,상원건업
206261,라온랜드(주),5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,라온랜드
222721,부산은성관광(주),2.0,4,2.0,1.5,2.5,1.8,1.8,1.8,0%,25%,0%,부산은성관광
82997,다날(주),2.9,356,2.9,2.6,3.5,2.9,3.0,2.3,38%,44%,16%,다날
173573,지오데코(주),2.0,21,2.0,1.6,3.2,2.0,1.9,1.3,24%,24%,0%,지오데코
379910,(주)드림위드에프씨,1.3,6,1.3,1.5,2.8,2.2,2.2,1.7,33%,33%,17%,드림위드
322009,(주)코스모코스,2.3,243,2.3,2.0,3.2,2.2,2.2,1.7,21%,17%,4%,코스모코스
87335,(주)조이엠지,2.3,41,2.3,2.1,3.1,2.2,2.4,2.0,24%,26%,15%,조이엠지
17501,오티스엘리베이터(유),2.9,474,2.9,2.4,3.4,3.1,3.0,2.3,40%,30%,10%,오티스엘리베이터
13164,인천화학(주),2.5,28,2.5,2.2,3.2,2.3,2.1,2.4,29%,50%,11%,인천화학
260420,(주)대광건영,2.4,43,2.4,2.7,2.3,2.0,2.8,2.0,19%,37%,30%,대광건영
11279,제일파마홀딩스(주),2.6,946,2.6,2.6,2.8,2.3,2.3,1.9,28%,23%,10%,제일약품
109463,고려엠지(주),2.5,6,2.5,1.8,2.7,1.7,2.3,1.5,17%,50%,0%,고려엠지
102436,이모텔리(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,이모텔리
141073,딕슨로지스틱스(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,딕슨로지스틱스
439789,(주)제이앤이 아산공장,4.0,3,4.0,3.7,3.3,3.3,3.3,3.3,33%,33%,33%,제이앤이아산공장
194243,대성아이넷(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대성아이넷
44679,광진실업(주),2.4,40,2.4,2.5,2.6,2.3,2.1,2.2,30%,38%,13%,광진실업
137790,덕수건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕수건설
71518,(주)셀루메드,2.2,115,2.2,1.9,3.0,2.3,2.0,1.9,21%,23%,10%,셀루메드
33299,미주기업,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,미주기업
204106,우경건설(주),2.0,24,2.0,1.4,3.0,2.1,2.1,1.5,13%,17%,4%,우경건설
7486,다올투자증권(주),2.9,136,2.9,3.0,3.0,2.6,3.0,2.2,32%,37%,16%,다올투자증권
426863,(주)엘도라도리조트 신안지점,3.0,5,3.0,2.2,2.6,2.2,2.2,2.2,40%,20%,0%,엘도라도리조트신안지점
386938,(주)정문패키지,2.0,2,2.0,1.0,5.0,1.0,1.0,1.0,0%,0%,0%,정문패키지
249587,예인아테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,예인아테크
92355,노사발전재단,3.3,164,3.3,2.4,4.3,3.1,2.1,2.4,59%,46%,16%,노사발전재단
37663,동아에스티(주),3.5,507,3.5,3.3,3.9,3.2,3.1,2.6,66%,42%,17%,동아
219996,(주)해원바이오테크,1.7,3,1.7,1.7,4.0,2.0,1.7,1.0,0%,0%,0%,해원바이오테크
159452,신기유통(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,신기유통
311325,(주)아미고디자인,1.8,12,1.8,1.6,2.1,1.9,2.1,1.7,17%,30%,0%,아미고디자인
295252,대기이엔지(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대기이엔지
88830,케이엔디이(주),2.5,46,2.5,2.0,2.8,2.7,2.6,2.2,20%,28%,7%,케이엔디
150567,엔테크시스템(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,엔테크시스템
121941,상지대학교산학협력단,2.3,9,2.3,2.3,2.7,2.7,1.4,2.1,22%,22%,11%,상지대학교산학협력단
36516,윈저글로벌(주),3.4,214,3.4,3.9,3.3,3.2,3.0,2.4,51%,28%,15%,윈저글로벌
118510,코리아푸드(주),2.0,5,2.0,1.8,2.4,2.0,2.2,1.4,20%,20%,0%,코리아푸드
76197,바이오프리,1.0,3,1.0,1.0,1.3,1.3,1.0,1.7,0%,33%,0%,바이오프리
72166,세기전기,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세기전기
122055,송주건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,송주건설
82952,다모아식품,1.0,2,1.0,1.0,1.5,1.5,2.5,1.0,0%,0%,0%,다모아식품
48970,하이트진로(주),3.4,460,3.4,4.0,3.1,2.7,2.9,2.6,63%,51%,25%,하이트진로
87699,글로텍엔지니어링(주),2.2,224,2.2,1.7,2.5,2.3,2.3,1.8,14%,14%,6%,글로텍엔지니어링
251102,주목종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,주목종합건설
151258,동원테크(주),2.2,15,2.2,1.9,1.9,2.3,2.3,1.5,20%,33%,7%,동원테크
216786,동은씨앤티(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동은씨앤티
159682,신세계소방(주),4.0,1,4.0,4.0,4.0,4.0,4.0,4.0,100%,100%,0%,신세계소방
160267,신도산업(주),1.7,193,1.7,1.6,2.1,1.8,1.7,1.5,9%,17%,7%,신도산업
188636,씨티트레이딩(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,씨티트레이딩
60638,위딘(주),1.8,109,1.8,1.8,1.9,1.8,2.0,1.8,17%,40%,14%,위딘
144248,세풍운수(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세풍운수
107086,동성지기(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동성지기
132151,애드사운드(주),3.5,30,3.5,3.1,4.2,3.3,2.9,3.1,50%,60%,23%,애드사운드
179529,대건이엔엘(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대건이엔엘
139058,(주)휴민로보틱스,2.4,84,2.4,2.4,1.8,2.4,2.6,2.2,17%,42%,20%,민텍
13058,인포링크,3.4,7,3.4,3.0,3.3,3.4,3.6,3.0,57%,75%,14%,인포링크
243746,정원로지스(유),1.0,1,1.0,3.0,3.0,5.0,1.0,2.0,0%,0%,0%,정원로지스
199286,에스지건설(주),2.0,1,2.0,2.0,1.0,2.0,2.0,1.0,0%,0%,0%,에스지건설
370282,(주)딜리셔스랑고,2.4,47,2.4,2.4,3.4,2.6,2.2,2.0,26%,34%,15%,딜리셔스랑고
76062,(주)밥상푸드,2.1,11,2.1,1.7,2.3,1.8,2.3,1.7,27%,27%,9%,밥상푸드
424471,(주)태평양감정평가법인 경기지사,2.0,3,2.0,2.0,3.0,1.3,1.7,2.3,0%,33%,0%,태평양감정평가법인경기지사
200911,에이치에스건설(주),2.3,4,2.3,3.5,3.5,2.5,3.5,1.5,0%,0%,0%,에이치에스건설
114789,대산강건(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대산강건
112388,(주)코아테크코리아,2.9,18,2.9,2.4,3.6,3.1,3.0,2.7,39%,44%,33%,코아테크코리아
68509,아리산업,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아리산업
192342,디케이에셋(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,디케이에셋
23078,아데카코리아(주),3.8,50,3.8,4.1,3.7,2.9,3.2,3.0,66%,55%,60%,아데카코리아
224416,서연건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,서연건설
462908,나봄리조트(주),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,나봄리조트
22630,교보에이아이엠자산운용(주),2.4,10,2.4,2.0,2.8,2.0,2.1,1.3,10%,0%,0%,파빌리온자산운용
168171,하프타임(주),4.0,1,4.0,3.0,3.0,3.0,3.0,3.0,100%,0%,100%,하프타임
55660,지구물산,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,지구물산
274163,글로벌텍스프리(주),2.7,116,2.7,2.3,3.1,2.5,2.5,2.5,35%,51%,16%,글로벌텍
88967,한국국제협력단,3.6,852,3.6,3.4,3.4,3.4,3.1,2.9,75%,63%,27%,한국국제협력단
298185,금강지엔피(주),1.8,4,1.8,1.5,1.8,1.5,1.8,1.5,25%,25%,0%,강지
104031,대명산업(주),1.5,8,1.5,1.8,1.5,1.6,1.8,1.4,0%,0%,0%,대명산업
363837,팜로드(주),2.0,4,2.0,1.5,3.0,2.5,1.5,1.0,0%,0%,0%,팜로드
27184,성진산업사,2.1,9,2.1,2.0,1.6,2.1,2.0,1.9,22%,44%,0%,성진산업
123966,에이스월드(주),1.2,5,1.2,1.0,1.8,1.6,2.4,1.2,0%,0%,0%,에이스월드
118312,인제메디언스(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,인제메디언스
414271,(주)지유팜,2.7,3,2.7,3.0,3.3,3.3,3.0,2.7,33%,33%,33%,유팜
253417,지오디벨로퍼(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,지오디벨로퍼
46280,강신산업(주),4.1,18,4.1,4.2,4.6,3.7,4.0,4.3,89%,92%,33%,강신산업
446736,(사)소비자교육중앙회 전라북도지부,5.0,1,5.0,1.0,2.0,3.0,5.0,2.0,0%,100%,0%,소비자교육중앙회
305004,형제풍력(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,형제풍력
177729,드림하이테크(주),2.0,13,2.0,2.3,2.1,2.4,2.5,2.0,8%,15%,0%,드림하이테크
157068,(주)대원지주회사,2.5,2,2.5,2.5,2.5,3.5,2.5,2.5,0%,50%,0%,대원지주회사
183730,(재)백제역사문화연구원,3.0,3,3.0,2.7,3.3,2.0,1.7,2.0,33%,33%,33%,백제역사문화연구원
308946,폴바셋 (매장),2.3,368,2.3,2.0,1.9,2.0,2.6,1.9,18%,31%,11%,엠즈씨드
341813,(주)에스앤골프리조트,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,100%,에스앤골프리조트
131677,진남엔지니어링(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,진남엔지니어링
214659,우진관광여행사(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,우진관광여행사
52651,코웰테크,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,코웰테크
152339,세우실업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세우실업
134986,대용건설(주),2.1,11,2.1,2.5,2.5,1.9,2.4,1.8,27%,45%,9%,대용건설
242994,늘푸른영농조합법인,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,늘푸른영농조합법인
304682,순흥기업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,순흥기업
301598,서교흥업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,서교흥업
72614,성균바이오텍(주),5.0,1,5.0,3.0,5.0,5.0,4.0,5.0,100%,100%,100%,성균바이오텍
84429,기원무역,3.0,1,3.0,1.0,3.0,3.0,4.0,2.0,0%,100%,100%,기원무역
102637,상아이엔지(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,상아이엔지
169188,현대테크(주),2.4,5,2.4,2.0,2.6,2.6,2.2,3.0,20%,25%,0%,현대테크
107579,에스엠퍼스트프라자(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에스엠퍼스트프라자
293362,광일상사(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,광일상사
212824,지은정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,지은정보통신
63434,엠오디시스템,3.0,1,3.0,3.0,4.0,4.0,2.0,3.0,0%,0%,0%,엠오디시스템
372205,(주)빌리언스,2.2,34,2.2,1.9,2.6,1.9,2.1,1.7,15%,28%,6%,블루베리엔에프티
215336,관세법인스카이브릿지,3.1,54,3.1,2.3,3.2,3.2,3.2,2.7,30%,56%,17%,관세법인스카이브릿지
12710,일진제강(주),2.4,212,2.4,2.2,2.1,2.1,2.5,1.9,24%,27%,14%,일진제강
185781,대운종합건설(주),2.0,1,2.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,대운종합건설
379487,(주)제이케이인스퍼레이션,2.1,17,2.1,2.2,1.9,2.2,3.1,1.7,12%,12%,12%,제이케이인스퍼레이션
233690,수정건설(주),1.8,12,1.8,2.1,2.6,1.7,2.1,1.8,8%,27%,0%,신성컨트롤
43272,기성금속(주),2.1,109,2.1,1.9,2.2,2.1,2.4,1.8,16%,21%,10%,기성금속
183508,효성산전(주),1.0,1,1.0,3.0,1.0,1.0,1.0,1.0,0%,0%,0%,효성산전
348217,(주)구스베,2.3,14,2.3,1.4,2.1,2.2,1.9,1.7,7%,7%,0%,구스베
57346,자연과사람들(주),2.7,23,2.7,3.3,2.7,2.4,2.7,2.3,61%,70%,13%,자연과사람들
285156,세인메덱스(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,세인메덱스
277317,협창통상(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,협창통상
330411,건우기술(주),3.0,1,3.0,3.0,2.0,2.0,3.0,1.0,0%,0%,0%,건우기술
320516,더부쓰(주),2.5,55,2.5,2.7,2.9,3.1,2.4,2.2,18%,33%,13%,더부쓰
219401,동운종합건설(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동운종합건설
321287,케이티엘글로벌로지스틱스(주),4.0,6,4.0,3.2,4.8,4.3,3.8,3.7,83%,83%,33%,케이티엘
465060,(주)다루아이앤씨,4.0,1,4.0,3.0,5.0,4.0,4.0,4.0,0%,100%,0%,루아이앤씨
56608,(주)제이앤아이글로벌,2.2,38,2.2,2.0,2.2,2.2,2.6,2.1,18%,29%,16%,제이앤아이
427756,(주)밀리언키,3.7,3,3.7,2.3,2.3,2.3,2.3,2.7,0%,33%,0%,밀리언키
269057,오씸코리아(주),3.1,33,3.1,2.6,3.1,2.8,3.2,2.8,55%,58%,42%,오씸코리아
